[2026-06-25 19:28:42] system info:
    hostname: i305
    platform: Linux-6.8.0-83-generic-x86_64-with-glibc2.35
    python: 3.10.12
    torch: 2.9.1+cu128
    world_size: 8
    cuda: 12.8
    cudnn: 91002
    gpu_name: NVIDIA B200
    gpus_visible: 8
    gpu_mem_gib: 178.35
    gpu_capability: 10.0
    gpu_sm_count: 148
    nvidia_driver: 580.82.07
    cpu_affinity: 64
    cpu_cores_logical: 768
    cpu_cores_physical: 384
    ram_total_gib: 3022.95
    ram_available_gib: 2940.91
[2026-06-25 19:28:42] GPU-hour budget: 192 GPU-h on 8 ranks => wall-clock cutoff 24.000h (clock starts after step 0; checked every step).
[2026-06-25 19:56:11] step 000185 | loss 2.226158 | lrm 1.0000 | dt_ms 7183.4
[2026-06-25 19:56:18] step 000186 | loss 1.460271 | lrm 1.0000 | dt_ms 7284.1
[2026-06-25 19:56:25] step 000187 | loss 2.118521 | lrm 1.0000 | dt_ms 7118.8
[2026-06-25 19:56:32] step 000188 | loss 1.900723 | lrm 1.0000 | dt_ms 7099.3
[2026-06-25 19:56:39] step 000189 | loss 1.751602 | lrm 1.0000 | dt_ms 7015.6
[2026-06-25 19:56:47] step 000190 | loss 1.935859 | lrm 1.0000 | dt_ms 7445.6
[2026-06-25 19:56:54] step 000191 | loss 2.097149 | lrm 1.0000 | dt_ms 7203.9
[2026-06-25 19:57:01] step 000192 | loss 2.656198 | lrm 1.0000 | dt_ms 7299.9
[2026-06-25 19:57:08] step 000193 | loss 1.893703 | lrm 1.0000 | dt_ms 7117.6
[2026-06-25 19:57:16] step 000194 | loss 1.611632 | lrm 1.0000 | dt_ms 7503.9
[2026-06-25 19:57:23] step 000195 | loss 1.301513 | lrm 1.0000 | dt_ms 7185.2
[2026-06-25 19:57:30] step 000196 | loss 1.919515 | lrm 1.0000 | dt_ms 7098.8
[2026-06-25 19:57:37] step 000197 | loss 2.143507 | lrm 1.0000 | dt_ms 7016.0
[2026-06-25 19:57:44] step 000198 | loss 1.626937 | lrm 1.0000 | dt_ms 7005.3
[2026-06-25 19:57:51] step 000199 | loss 1.514094 | lrm 1.0000 | dt_ms 7019.9
[2026-06-25 19:57:58] step 000200 | loss 1.391423 | lrm 1.0000 | dt_ms 7260.8
[2026-06-25 19:58:05] step 000201 | loss 1.677576 | lrm 1.0000 | dt_ms 7028.6
[2026-06-25 19:58:12] step 000202 | loss 1.816044 | lrm 1.0000 | dt_ms 7179.9
[2026-06-25 19:58:20] step 000203 | loss 1.923605 | lrm 1.0000 | dt_ms 7280.2
[2026-06-25 19:58:27] step 000204 | loss 1.612379 | lrm 1.0000 | dt_ms 7392.8
[2026-06-25 19:58:34] step 000205 | loss 1.424160 | lrm 1.0000 | dt_ms 7089.4
[2026-06-25 19:58:42] step 000206 | loss 1.262901 | lrm 1.0000 | dt_ms 7309.0
[2026-06-25 19:58:49] step 000207 | loss 1.200394 | lrm 1.0000 | dt_ms 7037.3
[2026-06-25 19:58:56] step 000208 | loss 1.717539 | lrm 1.0000 | dt_ms 7106.6
[2026-06-25 19:59:03] step 000209 | loss 1.479207 | lrm 1.0000 | dt_ms 7041.2
[2026-06-25 19:59:10] step 000210 | loss 1.456187 | lrm 1.0000 | dt_ms 7230.1
[2026-06-25 19:59:17] step 000211 | loss 1.420211 | lrm 1.0000 | dt_ms 7251.3
[2026-06-25 19:59:24] step 000212 | loss 1.495169 | lrm 1.0000 | dt_ms 7304.9
[2026-06-25 19:59:33] step 000213 | loss 1.247187 | lrm 1.0000 | dt_ms 8233.9
[2026-06-25 19:59:40] step 000214 | loss 1.454481 | lrm 1.0000 | dt_ms 7356.2
[2026-06-25 19:59:47] step 000215 | loss 1.677331 | lrm 1.0000 | dt_ms 7244.2
[2026-06-25 19:59:54] step 000216 | loss 1.002670 | lrm 1.0000 | dt_ms 7051.3
[2026-06-25 20:00:01] step 000217 | loss 1.277173 | lrm 1.0000 | dt_ms 7009.9
[2026-06-25 20:00:09] step 000218 | loss 1.362689 | lrm 1.0000 | dt_ms 7121.6
[2026-06-25 20:00:16] step 000219 | loss 1.079641 | lrm 1.0000 | dt_ms 7237.5
[2026-06-25 20:00:23] step 000220 | loss 1.275190 | lrm 1.0000 | dt_ms 7370.6
[2026-06-25 20:00:30] step 000221 | loss 1.238483 | lrm 1.0000 | dt_ms 7106.1
[2026-06-25 20:00:37] step 000222 | loss 1.402363 | lrm 1.0000 | dt_ms 7204.3
[2026-06-25 20:00:44] step 000223 | loss 1.155362 | lrm 1.0000 | dt_ms 7036.0
[2026-06-25 20:00:54] step 000224 | loss 0.895062 | lrm 1.0000 | dt_ms 9191.6
[2026-06-25 20:01:01] step 000225 | loss 1.418498 | lrm 1.0000 | dt_ms 7079.6
[2026-06-25 20:01:08] step 000226 | loss 1.090675 | lrm 1.0000 | dt_ms 7025.6
[2026-06-25 20:01:15] step 000227 | loss 1.170098 | lrm 1.0000 | dt_ms 6991.6
[2026-06-25 20:01:22] step 000228 | loss 1.227979 | lrm 1.0000 | dt_ms 7023.8
[2026-06-25 20:01:29] step 000229 | loss 1.127494 | lrm 1.0000 | dt_ms 7125.9
[2026-06-25 20:01:36] step 000230 | loss 1.819592 | lrm 1.0000 | dt_ms 7233.8
[2026-06-25 20:01:43] step 000231 | loss 0.877825 | lrm 1.0000 | dt_ms 7017.7
[2026-06-25 20:01:50] step 000232 | loss 0.836532 | lrm 1.0000 | dt_ms 7165.7
[2026-06-25 20:01:57] step 000233 | loss 0.864424 | lrm 1.0000 | dt_ms 6977.3
[2026-06-25 20:02:04] step 000234 | loss 1.174053 | lrm 1.0000 | dt_ms 7184.6
